",State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change"
"117888,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,09:00,2022-01-09,17:00,0.305,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117889,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,10:00,2022-01-09,18:00,0.253,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117890,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,11:00,2022-01-09,19:00,0.263,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117891,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,12:00,2022-01-09,20:00,0.26,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117892,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,13:00,2022-01-09,21:00,0.235,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117893,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,14:00,2022-01-09,22:00,0.216,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117894,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,15:00,2022-01-09,23:00,0.189,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117895,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,16:00,2022-01-10,00:00,0.219,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117896,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,17:00,2022-01-10,01:00,0.742,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117897,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,18:00,2022-01-10,02:00,1.213,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117898,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,19:00,2022-01-10,03:00,1.222,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117899,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,20:00,2022-01-10,04:00,1.396,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117900,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,21:00,2022-01-10,05:00,1.496,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117901,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,22:00,2022-01-10,06:00,1.502,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117902,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,23:00,2022-01-10,07:00,1.33,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117903,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-10,00:00,2022-01-10,08:00,1.151,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117904,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-10,01:00,2022-01-10,09:00,1.094,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117905,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-10,02:00,2022-01-10,10:00,0.93,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117906,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-10,03:00,2022-01-10,11:00,0.633,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117907,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-10,04:00,2022-01-10,12:00,0.669,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117908,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-10,05:00,2022-01-10,13:00,0.642,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117909,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-10,06:00,2022-01-10,14:00,0.727,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117910,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-10,07:00,2022-01-10,15:00,0.886,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117911,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-10,08:00,2022-01-10,16:00,1.388,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117912,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-10,09:00,2022-01-10,17:00,1.36,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117913,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-10,10:00,2022-01-10,18:00,0.535,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117914,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-10,11:00,2022-01-10,19:00,0.347,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117915,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-10,12:00,2022-01-10,20:00,0.321,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117916,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-10,13:00,2022-01-10,21:00,0.505,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117917,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-10,14:00,2022-01-10,22:00,0.409,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117918,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-10,15:00,2022-01-10,23:00,0.444,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"

















