",State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change"
"117720,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,09:00,2022-01-02,17:00,0.397,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117721,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,10:00,2022-01-02,18:00,0.322,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117722,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,11:00,2022-01-02,19:00,0.307,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117723,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,12:00,2022-01-02,20:00,0.253,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117724,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,13:00,2022-01-02,21:00,0.208,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117725,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,14:00,2022-01-02,22:00,0.181,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117726,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,15:00,2022-01-02,23:00,0.192,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117727,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,16:00,2022-01-03,00:00,0.288,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117728,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,17:00,2022-01-03,01:00,0.515,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117729,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,18:00,2022-01-03,02:00,1.026,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117730,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,19:00,2022-01-03,03:00,1.06,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117731,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,20:00,2022-01-03,04:00,1.457,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117732,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,21:00,2022-01-03,05:00,1.529,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117733,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,22:00,2022-01-03,06:00,1.732,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117734,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,23:00,2022-01-03,07:00,1.512,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117735,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,00:00,2022-01-03,08:00,0.937,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117736,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,01:00,2022-01-03,09:00,0.759,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117737,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,02:00,2022-01-03,10:00,0.715,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117738,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,03:00,2022-01-03,11:00,0.509,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117739,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,04:00,2022-01-03,12:00,0.548,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117740,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,05:00,2022-01-03,13:00,0.572,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117741,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,06:00,2022-01-03,14:00,0.821,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117742,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,07:00,2022-01-03,15:00,1.458,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117743,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,08:00,2022-01-03,16:00,1.083,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117744,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,09:00,2022-01-03,17:00,0.484,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117745,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,10:00,2022-01-03,18:00,0.322,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117746,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,11:00,2022-01-03,19:00,0.333,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117747,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,12:00,2022-01-03,20:00,0.281,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117748,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,13:00,2022-01-03,21:00,0.258,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117749,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,14:00,2022-01-03,22:00,0.222,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117750,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,15:00,2022-01-03,23:00,0.272,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117751,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,16:00,2022-01-04,00:00,0.362,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117752,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,17:00,2022-01-04,01:00,0.67,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117753,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,18:00,2022-01-04,02:00,0.919,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117754,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,19:00,2022-01-04,03:00,1.118,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117755,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,20:00,2022-01-04,04:00,1.149,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117756,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,21:00,2022-01-04,05:00,1.545,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117757,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,22:00,2022-01-04,06:00,1.566,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117758,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-03,23:00,2022-01-04,07:00,1.311,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117759,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,00:00,2022-01-04,08:00,1.199,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117760,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,01:00,2022-01-04,09:00,0.988,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117761,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,02:00,2022-01-04,10:00,0.903,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117762,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,03:00,2022-01-04,11:00,0.757,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117763,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,04:00,2022-01-04,12:00,0.744,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117764,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,05:00,2022-01-04,13:00,0.71,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117765,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,06:00,2022-01-04,14:00,0.628,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117766,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,07:00,2022-01-04,15:00,0.642,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117767,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,08:00,2022-01-04,16:00,0.483,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117768,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,09:00,2022-01-04,17:00,0.308,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117769,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,10:00,2022-01-04,18:00,0.265,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117770,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,11:00,2022-01-04,19:00,0.234,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117771,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,12:00,2022-01-04,20:00,0.211,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117772,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,13:00,2022-01-04,21:00,0.223,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117773,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,14:00,2022-01-04,22:00,0.231,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117774,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,15:00,2022-01-04,23:00,0.23,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
