"State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change"
"240879,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,20:00,1980-01-03,04:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240880,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,21:00,1980-01-03,05:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240881,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,22:00,1980-01-03,06:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240882,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,23:00,1980-01-03,07:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240883,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,00:00,1980-01-03,08:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240884,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,01:00,1980-01-03,09:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240885,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,02:00,1980-01-03,10:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240886,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,03:00,1980-01-03,11:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240887,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,04:00,1980-01-03,12:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240888,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,05:00,1980-01-03,13:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240889,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,06:00,1980-01-03,14:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240890,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,07:00,1980-01-03,15:00,2.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240891,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,08:00,1980-01-03,16:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
